1864, 2584, 16528, 75, -127, 331
-736, 1760, 16224, 80, -151, 328
-1288, 1328, 17184, 70, -187, 323
320, -4144, 16016, 65, -263, 269
1008, -6032, 14568, 45, -396, 137
1528, -17128, 3088, 70, -469, -115
800, -16992, -2936, 110, -409, -294
736, -15856, -4048, 80, -383, -338
-296, -14672, -8592, 16, -330, -420
1984, -3920, -17344, 61, -58, -528
1872, 6936, -14184, 17, 289, -385
904, 14328, -8912, 70, 407, -152
200, 17008, -2712, 96, 384, 23
1888, 15880, 3600, 87, 315, 144
280, 11136, 10224, 127, 127, 257
-688, 6048, 15176, 156, -50, 283
-2656, 2536, 17424, 138, -173, 263
-232, 2296, 17176, 103, -160, 261
-168, -3008, 16848, 102, -234, 225
-5648, -688, 12032, 196, -251, 185
-13416, 7264, 10816, 396, -82, 94
-13600, 3976, 3416, 440, -80, -36
-14864, 4104, -3384, 438, -76, -202
-14488, 3048, -5528, 392, -86, -257
-14160, 4096, -7880, 363, -121, -293
-13472, 4176, -9520, 346, -126, -312
-12104, 3648, -11240, 288, -113, -379
-6536, 2848, -16008, 150, -138, -417
4200, 864, -14688, 23, -178, -396
10368, -1536, -10952, -86, -238, -327
15136, -2424, -6472, -170, -229, -220
15680, -3080, 280, -207, -240, -120
10360, -4640, 10288, -151, -290, 42
6848, -2456, 16272, -62, -255, 169
872, -184, 16744, 31, -223, 231
-4024, -864, 15248, 132, -187, 237
-5568, 2952, 15280, 178, -147, 253
-5088, 896, 15616, 171, -160, 248
-4624, 1480, 15416, 161, -163, 251
-1608, -1152, 16168, 120, -208, 240
1664, -3248, 16584, 68, -251, 217
4752, -5576, 13784, 27, -313, 166
1536, -10280, 13584, 46, -392, 74
7640, -10672, 8216, 6, -397, 1
11944, -12184, 2032, -60, -394, -112
12296, -9656, -5608, -76, -345, -253
8920, -7760, -12408, 33, -275, -369
440, -5760, -15880, 178, -202, -396
-7536, -2176, -15544, 348, -113, -322
-13968, 1968, -10160, 421, -35, -214
-15272, 8464, -4168, 427, 80, -66
-12048, 10704, 4376, 342, 99, 125
-6176, 8304, 10368, 195, 44, 235
-1560, 7392, 12616, 86, -16, 263
2000, 5704, 15000, 38, -66, 253
4392, 7368, 16168, -3, -147, 241
4440, 1696, 15320, 36, -178, 234
3224, -2624, 16616, 28, -280, 185
4680, -5624, 15528, 8, -293, 170
40, -1744, 17952, 72, -266, 201
-8368, -2688, 13160, 235, -271, 134
-12208, -5888, 5040, 301, -314, -23
-13104, -7440, -4024, 240, -336, -247
-10384, -7400, -11944, 163, -306, -361
-5920, -3144, -16328, 111, -259, -403
-3304, -2608, -16880, 8, -230, -410
3752, 5040, -16048, -68, -170, -403
736, 27504, -14880, -113, -165, -374
3840, -6128, 3568, -140, 193, -287
-7904, 15824, 5192, 70, 352, -142
-6056, 14016, 928, 40, 360, -166
-352, 14720, -8064, -20, 302, -277
-1328, 15664, -8920, -32, 260, -333
4184, 16392, -9880, -120, 172, -348
9192, 8792, -9056, -212, 49, -289
13128, 3608, -4192, -262, -104, -161
14096, -144, 4768, -240, -190, -12
8608, -3776, 13528, -107, -263, 132
2048, -1656, 17000, 42, -237, 208
-2248, 944, 15480, 138, -189, 229
-1640, -6912, 16760, 123, -293, 195
-944, -11240, 10648, 90, -409, 19
-1656, -15792, 4848, 91, -431, -145
-4744, -17280, -904, 150, -373, -264
-3456, -16960, -9640, 123, -264, -388
-2368, -10944, -10464, 117, -187, -429
-6280, -9040, -15304, 171, -61, -430
-3576, -2392, -15448, 150, 70, -412
-2264, -1400, -16112, 121, 105, -418
-3216, -1240, -16288, 105, 99, -421
-1704, -4136, -15544, 111, 24, -440
-1784, -14240, -10896, 88, -123, -442
488, -13592, -6568, 51, -283, -371
1176, -15328, -2816, 47, -341, -304
1048, -16368, -2712, 36, -353, -302
1728, -14400, 1840, 46, -403, -204
2176, -10856, 10736, 62, -388, 29
-720, -3120, 15608, 105, -245, 208
-1744, -1208, 16544, 95, -203, 230
-1320, -2744, 16280, 77, -229, 218
416, 14752, 10112, 55, 125, 228
504, 14720, 5576, 62, 216, 174
1304, 15928, 3904, 57, 260, 130
896, 15928, 2464, 90, 276, 117
-88, 16448, -1944, 188, 327, -3
-368, 15288, -3072, 208, 314, -91
144, 15664, -1712, 207, 310, -144
792, 16440, -1616, 211, 319, -148
528, 15248, -1064, 207, 313, -103
1632, 16368, 1432, 193, 298, 20
1128, 2480, 12096, 210, 109, 196
560, 3768, 16848, 216, -16, 222
368, -2136, 16016, 205, -200, 183
808, -16496, 5152, 197, -370, -17
904, -16208, 1312, 208, -371, -65
872, -16336, 1224, 211, -369, -60
1184, -15248, 4864, 207, -365, -24
432, -17160, -5816, 200, -352, -210
1416, -14096, -16168, 183, -223, -369
2376, -1752, -16104, 161, -97, -428
1592, -960, -16600, 183, -69, -430
1792, -824, -16488, 186, -61, -423
4120, -8664, -15672, 133, -173, -413
7104, -15144, -6288, 53, -353, -290
3376, -18320, 528, 73, -395, -192
-2144, -13656, 10800, 216, -356, 23
-64, -5696, 15504, 231, -186, 172
1976, -1224, 16352, 178, -74, 231
-1472, -2152, 16424, 213, -191, 187
-4088, -11152, 13808, 277, -260, 71
-2600, -10112, 14152, 252, -151, 157
-4160, 2344, 15312, 253, -30, 192
-4568, 9304, 13744, 285, 52, 144
-1928, 10944, 13176, 221, 19, 199
-7344, 3336, 15432, 278, -110, 141
576, -3712, 15320, 220, -31, 171
8256, 7152, 10544, 46, 134, 180
5416, 14240, -7520, 62, 302, -110
2000, 6656, -17680, 182, 167, -333
656, 928, -15816, 186, 63, -386
-1664, -2944, -16872, 193, 1, -396
-568, -1072, -16344, 213, 121, -366
-1688, 968, -16544, 223, 9, -388
-3384, -824, -15976, 241, 30, -371
-3456, 1432, -17888, 227, 93, -375
-424, 6776, -14744, 226, 176, -329
1440, 16456, -10168, 157, 305, -176
1344, 10048, 9440, 175, 167, 169
-1296, -1104, 16104, 223, -110, 199
-1576, -6848, 15432, 228, -194, 170
-1608, -13080, 12520, 231, -301, 67
-488, -16840, 2968, 212, -354, -66
2504, -15568, -6568, 195, -336, -255
2056, -13496, -8344, 166, -283, -317
1440, -10704, -12776, 190, -195, -390
1904, -6984, -15624, 160, -127, -414
-688, -10072, -13072, 240, -174, -375
-848, -12472, -11152, 170, -294, -328
136, -12760, -12448, 188, -337, -273
-3360, -10512, -12464, 263, -267, -302
-592, -6328, -14744, 250, -177, -370
2320, -5160, -14448, 160, -96, -436
-2304, -9744, -14320, 202, -127, -424
-3720, -12616, -7688, 287, -237, -284
648, -14904, -7296, 225, -323, -235
4776, -11024, -10512, 105, -334, -314
9496, -5200, -13552, 48, -238, -383
8928, -2328, -14136, -17, -91, -434
5928, -4008, -15304, 45, -10, -451
2848, -6424, -15968, 120, -49, -439
1264, -13520, -10400, 180, -273, -331
3776, -15160, 3408, 157, -388, -90
3904, -12400, 9376, 153, -340, 65
-456, -2344, 17968, 201, -165, 197
-1760, 128, 15384, 280, -104, 176
-11400, -840, 13960, 366, -84, 42
-8432, 24, 13184, 351, -87, 79
-376, -4816, 14456, 236, -163, 180
2048, -11160, 12088, 167, -250, 166
2952, -3680, 13816, 163, -157, 207
4848, 4984, 15184, 132, 70, 228
5168, 13144, 10288, 115, 232, 142
6312, 17640, -3680, 80, 334, -100
4080, 14272, -5224, 126, 330, -160
2848, 12896, -8392, 137, 305, -208
1664, 13168, -9624, 180, 268, -267
1080, 12144, -11432, 190, 245, -291
0, 10240, -11968, 212, 224, -294
-792, 5824, -14968, 225, 167, -353
-856, 4288, -15856, 210, 86, -394
-664, -2264, -17680, 245, 10, -407
752, -1952, -16304, 207, -33, -419
128, -512, -16120, 210, -18, -421
-280, -1664, -17472, 241, -14, -401
-1544, -4352, -15408, 243, -152, -374
-1336, -16144, -2552, 217, -344, -210
-264, -9560, 8928, 231, -337, 15
1080, -12512, 12448, 215, -300, 93
-624, -11112, 13120, 223, -290, 106
-2992, -19376, 6528, 267, -344, -36
-400, -17328, 1264, 271, -340, -114
-1072, -13984, -9696, 252, -273, -291
-2104, 8840, -9880, 180, -13, -429
144, 14864, -8840, 198, 303, -207
1160, 15400, 4928, 180, 297, 58
1104, 9808, 13400, 183, 129, 209
2240, -1288, 15184, 178, -105, 231
1472, -7040, 13640, 186, -243, 170
1888, -7192, 13896, 182, -229, 181
2040, -8864, 14664, 183, -277, 145
3248, -13696, 10272, 150, -344, 76
5272, -16448, 5832, 130, -388, -34
4216, -15448, 4080, 140, -388, -26
4048, -13600, 1416, 118, -400, -33
6192, -15792, -1592, 110, -399, -71
9056, -12888, 2968, 83, -410, -30
760, -13896, 5016, 140, -396, -61
-3528, -13680, 6728, 247, -349, -46
-9584, -10464, 6224, 301, -322, -109
-12752, -11312, 1664, 301, -301, -185
-15248, -7136, 2208, 336, -275, -185
-15216, -4544, 7240, 393, -181, -79
-10272, 6288, 10944, 395, -39, 56
-8024, 10216, 16128, 271, -69, 207
-3136, 2496, 16456, 117, -143, 264
1448, -3280, 17200, -26, -220, 222
-7336, -1400, 15784, 121, -223, 226
-14792, -6216, 5688, 317, -258, 78
-16760, 152, -2960, 417, -216, -85
